country;year;category;group;subgroup;consumption
Croatia;2015;Animal;Dairy & Eggs ;;367
Croatia;2015;Non-Animal;Carbohydrates;Sugar ;480
Croatia;2015;Non-Animal;Oils & Fats ;;590
Croatia;2015;Animal;Meat ;;284
Croatia;2016;Animal;Dairy & Eggs ;;356
Croatia;2016;Non-Animal;Fruit and Vegetables ;;202
Croatia;2016;Non-Animal;Carbohydrates;Cereals and Grains ;837
Croatia;2016;Animal;Meat ;;296
Croatia;2016;Non-Animal;Alcoholic Beverages ;;180
Croatia;2016;Non-Animal;Carbohydrates;Sugar ;417
Croatia;2016;Non-Animal;Oils & Fats ;;611
Croatia;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;68,5
Croatia;2017;Non-Animal;Carbohydrates;Cereals and Grains ;851
Croatia;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;61
Croatia;2017;Animal;Meat ;;303
Croatia;2017;Animal;Dairy & Eggs ;;349
Croatia;2017;Non-Animal;Fruit and Vegetables ;;205
Croatia;2017;Non-Animal;Oils & Fats ;;613
Croatia;2017;Non-Animal;Alcoholic Beverages ;;166
Croatia;2017;Non-Animal;Carbohydrates;Sugar ;431
Croatia;2018;Non-Animal;Oils & Fats ;;526
Croatia;2018;Animal;Meat ;;323
Croatia;2018;Animal;Dairy & Eggs ;;333
Croatia;2018;Non-Animal;Carbohydrates;Sugar ;428
Croatia;2018;Non-Animal;Alcoholic Beverages ;;159
Croatia;2018;Non-Animal;Fruit and Vegetables ;;213
Croatia;2018;Non-Animal;Carbohydrates;Cereals and Grains ;887
Croatia;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;61
Croatia;2019;Non-Animal;Carbohydrates;Sugar ;462
Croatia;2019;Non-Animal;Oils & Fats ;;469
Croatia;2019;Animal;Meat ;;293
Croatia;2019;Non-Animal;Alcoholic Beverages ;;155
Croatia;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;44,5
Croatia;2019;Animal;Dairy & Eggs ;;328
Croatia;2019;Non-Animal;Fruit and Vegetables ;;201
Croatia;2019;Non-Animal;Carbohydrates;Cereals and Grains ;901
Croatia;2020;Non-Animal;Alcoholic Beverages ;;168
Croatia;2020;Non-Animal;Carbohydrates;Sugar ;461
Croatia;2020;Non-Animal;Oils & Fats ;;468
Croatia;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;42
Croatia;2020;Non-Animal;Carbohydrates;Cereals and Grains ;908
Croatia;2020;Animal;Meat ;;298
Croatia;2020;Animal;Dairy & Eggs ;;335
Croatia;2020;Non-Animal;Fruit and Vegetables ;;203
Croatia;2021;Non-Animal;Carbohydrates;Cereals and Grains ;903
Croatia;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;37,5
Croatia;2021;Non-Animal;Fruit and Vegetables ;;178
Croatia;2021;Non-Animal;Oils & Fats ;;505
Croatia;2021;Animal;Meat ;;337
Croatia;2021;Animal;Dairy & Eggs ;;348
Croatia;2021;Non-Animal;Alcoholic Beverages ;;155
Croatia;2021;Non-Animal;Carbohydrates;Sugar ;420
Croatia;2022;Non-Animal;Alcoholic Beverages ;;159
Croatia;2022;Non-Animal;Fruit and Vegetables ;;198
Croatia;2022;Non-Animal;Carbohydrates;Cereals and Grains ;917
Croatia;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;41
Croatia;2022;Animal;Dairy & Eggs ;;349
Croatia;2022;Non-Animal;Carbohydrates;Sugar ;401
Croatia;2022;Non-Animal;Oils & Fats ;;531
Croatia;2022;Animal;Meat ;;329
Cyprus;2014;Non-Animal;Carbohydrates;Cereals and Grains ;566
